Gold-Buy,Gold-Sell,Date
1765.6,1691.2,10-09-11 21:32:49
1740.6,1667.0,10-10-11 09:56:52
1740.5,1666.5,10-10-11 10:03:00
1720.0,1680.0,10-10-11 10:05:02
1736.7,1667.0,10-10-11 10:12:12
1736.7,1667.8,10-10-11 10:15:15
1709.5,1695.1,10-10-11 10:18:19
1708.2,1693.8,10-10-11 10:21:23
1709.8,1694.6,10-10-11 10:24:27
1708.4,1693.0,10-10-11 10:27:31
1707.8,1693.4,10-10-11 10:30:35
1707.0,1692.2,10-10-11 10:33:39
1708.5,1693.5,10-10-11 10:37:44
1705.9,1691.5,10-10-11 10:41:49
1706.0,1690.7,10-10-11 10:44:52
1707.4,1692.6,10-10-11 10:47:56
1707.6,1693.2,10-10-11 10:52:02
1708.2,1693.6,10-10-11 10:55:05
1706.1,1692.0,10-10-11 10:58:10
1705.2,1690.0,10-10-11 11:01:13
1706.7,1691.9,10-10-11 11:04:17
1705.6,1691.5,10-10-11 11:07:21
1706.2,1691.7,10-10-11 11:10:25
1705.6,1691.2,10-10-11 11:13:29
1706.5,1691.9,10-10-11 11:16:33
1707.1,1692.4,10-10-11 11:19:37
1707.8,1693.1,10-10-11 11:22:40
1707.3,1693.1,10-10-11 11:25:44
1709.6,1695.5,10-10-11 11:28:48
1711.3,1697.0,10-10-11 11:31:52
1712.1,1697.0,10-10-11 11:35:57
1711.7,1697.3,10-10-11 11:39:00
1710.9,1696.6,10-10-11 11:42:04
1711.7,1697.4,10-10-11 11:45:08
1711.5,1697.2,10-10-11 11:48:12
1712.2,1697.9,10-10-11 11:51:16
1710.9,1696.7,10-10-11 11:54:20
1710.1,1695.9,10-10-11 11:57:24
1710.3,1695.7,10-10-11 12:00:28
1709.6,1695.0,10-10-11 12:03:32
1710.6,1695.8,10-10-11 12:06:36
1711.0,1696.3,10-10-11 12:09:39
1709.5,1695.4,10-10-11 12:13:45
1709.5,1695.0,10-10-11 12:15:47
1712.2,1698.0,10-10-11 12:19:52
1712.0,1697.7,10-10-11 12:22:56
1709.1,1694.6,10-10-11 12:24:59
1707.0,1692.1,10-10-11 12:29:04
1704.6,1689.5,10-10-11 12:32:08
1705.9,1690.9,10-10-11 12:35:12
1733.1,1663.8,10-10-11 12:41:20
1737.4,1668.6,10-10-11 13:57:58
1737.8,1668.3,10-10-11 14:01:02
1737.4,1668.0,10-10-11 14:04:05
1709.0,1694.4,10-10-11 14:07:09
1709.2,1694.8,10-10-11 14:10:13
1710.2,1695.3,10-10-11 14:14:18
1709.6,1695.4,10-10-11 14:16:21
1710.5,1695.4,10-10-11 14:19:25
1710.9,1696.0,10-10-11 14:22:28
1710.5,1695.5,10-10-11 14:26:34
1710.6,1695.6,10-10-11 14:29:38
1708.2,1694.0,10-10-11 14:31:40
1707.1,1693.0,10-10-11 14:35:48
1707.3,1692.6,10-10-11 14:38:54
1706.4,1691.1,10-10-11 14:44:02
1706.8,1691.5,10-10-11 14:48:07
1707.0,1692.4,10-10-11 14:51:11
1706.6,1692.0,10-10-11 14:55:16
1706.4,1691.6,10-10-11 14:58:21
1706.8,1692.2,10-10-11 15:00:24
1707.4,1692.5,10-10-11 15:03:27
1707.2,1692.9,10-10-11 15:07:32
1707.5,1692.1,10-10-11 15:10:36
1706.7,1692.1,10-10-11 15:13:40
1706.2,1691.5,10-10-11 15:16:44
1706.5,1692.0,10-10-11 15:19:48
1706.0,1691.6,10-10-11 15:22:52
1706.2,1691.9,10-10-11 15:25:55
1705.2,1690.8,10-10-11 15:28:59
1705.5,1691.1,10-10-11 15:32:06
1705.5,1690.6,10-10-11 15:35:10
1704.1,1689.8,10-10-11 15:38:14
1703.1,1688.5,10-10-11 15:41:20
1701.8,1687.0,10-10-11 15:44:23
1702.4,1688.2,10-10-11 15:47:27
1702.5,1687.4,10-10-11 15:50:31
1702.6,1688.2,10-10-11 15:53:35
1703.8,1689.3,10-10-11 15:56:39
1703.4,1689.2,10-10-11 15:59:43
1704.5,1689.6,10-10-11 16:02:47
1707.0,1692.3,10-10-11 16:05:50
1706.5,1692.3,10-10-11 16:08:54
1709.2,1694.8,10-10-11 16:11:58
1709.2,1694.5,10-10-11 16:15:02
1705.9,1691.7,10-10-11 16:18:05
1706.5,1692.3,10-10-11 16:22:11
1708.8,1694.4,10-10-11 16:24:14
1705.9,1691.3,10-10-11 16:27:17
1704.7,1690.4,10-10-11 16:30:21
1707.3,1693.0,10-10-11 16:33:25
1706.8,1692.5,10-10-11 16:37:30
1704.4,1689.6,10-10-11 16:40:34
1703.6,1689.5,10-10-11 16:43:38
1703.4,1689.2,10-10-11 16:45:41
1703.5,1688.9,10-10-11 16:49:46
1702.7,1687.7,10-10-11 16:52:49
1729.2,1659.0,10-10-11 20:24:33
